"name","x","y","endX","endY","area","identifier","pos"
"Lionel Carole","48.93","63.376","56.8575","56.27","545.48886","1","DL"
"Adrien Thomasson","67.515","31.076","69.3","30.736","1471.43262","0","MC"
"Dimitri Lienard","55.335","49.028","59.64","44.676","1177.1004","0","MC"
"Lamine Koné","35.6475","18.156","44.0475","21.488","833.49147","0","DC"
"Stefan Mitrovic","33.4425","36.584","40.95","36.38","677.66454","0","DC"
"Fabien Centonze","43.47","6.936","54.285","11.56","694.95762","0","DR"
"Farid Boulaya","67.095","22.236","71.295","27.268","1564.80597","0","FWR"
"Stoppila Sunzu","31.9725","22.644","39.1125","26.486","449.93067","0","DC"
"Ludovic Ajorque","65.205","45.9","65.415","43.248","1267.87836","0","FW"
"Matz Sels","8.82","32.98","34.965","34","143.68536","0","GK"
"Jean-Ricner Bellegarde","56.0175","31.96","56.07","32.708","1330.72107","0","MC"
"Ibrahima Niane","65.73","39.304","66.36","36.448","1617.08148","0","FW"
"Marvin Gakpa","63.63","41.616","66.885","37.876","1043.90013","0","Sub"
"Nuno da Costa","68.88","25.092","71.4","27.472","1484.79513","0","Sub"
"Kévin Zohi","69.09","51.408","70.77","46.648","1702.24026","0","Sub"
"Victorien Angban","50.085","44.744","54.075","42.636","1067.93694","0","Sub"
"Jimmy Briand","61.32","35.496","60.795","36.516","1118.18469","0","FW"
"Nicolas de Preville","64.995","27.336","65.94","29.648","1284.25752","0","FW"
"Pablo","34.4925","46.512","42.525","41.548","769.04583","0","DC"
"Benoît Costil","8.19","32.3","31.71","27.676","156.16251","0","GK"
"Mateo Pavlovic","33.285","31.722","41.16","34.306","716.52042","0","Sub"
"Thomas Mangani","55.23","47.94","60.69","46.308","1142.23935","0","Sub"
"Mexer","37.065","13.464","43.365","21.42","768.74952","0","Sub"
"Samuel Kalu","63.3675","48.178","64.575","43.35","2084.08746","0","AML"
"Vincent Manceau","45.78","6.052","55.7025","11.968","694.47567","0","DR"
"Pierrick Capelle","58.485","48.008","60.8475","46.342","1761.77715","0","MC"
"Aurelien Tchouameni","46.41","32.3","49.77","31.144","911.12826","0","Sub"
"Hwang Ui-Jo","62.58","42.772","61.6875","38.896","1493.09538","0","AMR"
"Ludovic Butelle","11.0775","34.476","35.91","38.25","168.57183","0","GK"
"Loris Benito","47.67","60.996","54.39","55.624","603.71913","0","DC"
"Jeff Reine-Adélaïde","62.16","30.872","63.84","32.368","1345.44018","0","Sub"
"Baptiste Santamaría","46.62","33.116","51.03","31.484","1063.65651","0","DMC"
"Romain Thomas","31.71","45.084","41.055","42.364","498.11139","0","DC"
"Rachid Alioui","69.09","35.088","69.72","35.496","1219.00506","0","Sub"
"Rayan Aït-Nouri","49.245","62.56","56.91","56.984","646.75191","1","DL"
"Mathias Pereira Lage","66.045","26.214","68.46","28.696","1691.90154","0","Sub"
"Toma Basic","51.03","30.124","58.065","31.552","1063.00677","0","DMC"
"Yassine Benrahou","71.085","19.788","73.92","26.248","1374.88911","0","AMC"
"Théo Pellenard","57.645","62.356","61.215","57.664","465.14244","0","Sub"
"Josh Maja","62.475","30.736","62.685","31.11","1049.80848","0","Sub"
"Farid El Melali","64.05","9.554","64.995","13.498","912.6705","0","MR"
"Vincent Pajot","52.5","45.084","55.23","44.54","1046.20992","0","MC"
"Senou Coulibaly","30.975","22.678","40.11","28.05","701.09088","0","DC"
"Bruno Ecuele Manga","30.555","24.548","39.27","29.58","816.9231","0","DC"
"Júlio Tavares","66.78","34","70.35","33.728","1537.40622","0","FW"
"Miguel Trauco","47.145","61.812","55.65","57.596","771.14856","0","ML"
"Mickaël Alphonse","43.575","8.976","55.44","18.768","2035.92102","0","DMR"
"Jean Eudes Aholou","48.09","40.324","50.715","40.12","989.17203","0","MC"
"Romain Hamouma","72.3975","22.338","74.7075","26.656","1684.34742","0","AMC"
"Frédéric Sammaritano","65.835","42.024","67.935","37.536","1454.51082","0","Sub"
